TF,observed_score,null_mean,null_std,z_score,empirical_p_value,significant,condition
Solyc04g074170,-0.96683306,0.347351,1.0283098,-1.278004,0.21178821178821178,False,stat_PSTVd_M
Solyc04g077980,-0.9449269,0.31416368,1.0289669,-1.2236454,0.21178821178821178,False,stat_PSTVd_M
Solyc04g078770,-0.8793352,0.27037773,1.0295748,-1.1166872,0.26073926073926074,False,stat_PSTVd_M
Solyc04g078840,0.19302455,0.36070064,1.0285875,-0.16301589,0.8791208791208791,False,stat_PSTVd_M
Solyc04g082480,-0.84882605,0.46479934,0.9755463,-1.3465536,0.17382617382617382,False,stat_PSTVd_M
Solyc05g006650,1.7334319,0.36199573,1.003696,1.3663862,0.17582417582417584,False,stat_PSTVd_M
Solyc05g012500,3.250946,0.2611534,1.0389144,2.8778045,0.007992007992007992,True,stat_PSTVd_M
Solyc05g015840,0.22326852,0.08001707,1.0340364,0.13853617,0.8791208791208791,False,stat_PSTVd_M
Solyc05g026180,0.43138355,0.31351787,1.0553304,0.11168605,0.9070929070929071,False,stat_PSTVd_M
Solyc06g048630,1.3993387,0.27850628,1.0552783,1.0621202,0.26873126873126874,False,stat_PSTVd_M
Solyc06g051840,0.6703081,0.6528941,0.9352367,0.018619921,0.99000999000999,False,stat_PSTVd_M
Solyc06g053350,1.0154563,0.206779,1.0402158,0.777413,0.4205794205794206,False,stat_PSTVd_M
Solyc06g065040,0.58356255,0.3167573,1.0434917,0.2556851,0.8011988011988012,False,stat_PSTVd_M
Solyc06g069460,-1.217834,0.24280083,1.0773835,-1.3557241,0.17782217782217782,False,stat_PSTVd_M
Solyc06g070900,-1.7097801,0.21649592,0.9899384,-1.9458544,0.05194805194805195,False,stat_PSTVd_M
Solyc06g071230,2.0084236,0.30349097,1.0538317,1.6178414,0.10589410589410589,False,stat_PSTVd_M
Solyc06g071480,-1.0416218,0.41478187,1.0670718,-1.36486,0.17282717282717283,False,stat_PSTVd_M
Solyc06g074170,-1.1559796,0.20255752,1.05945,-1.2823042,0.1918081918081918,False,stat_PSTVd_M
Solyc06g082430,0.90816253,0.49518362,1.0022907,0.41203505,0.6983016983016983,False,stat_PSTVd_M
Solyc07g026680,2.4318542,0.33192384,1.0194595,2.0598466,0.03696303696303696,True,stat_PSTVd_M
